overview,filter_operation_yield,"Yield"
overview,filter_operation_as_applied,"As applied"
overview,filter_operation_crop_spec,"Crop spec"
overview,fab_grower,"grower"
overview,fab_farm,"farm"
overview,fab_field,"field"
overview,opacity,"Opacity"
overview,unknown_dry_product,"Unknown dry product"
overview,view_on_map,"View on map"
overview,change_style,"Change style"
overview,total_area,"Total area"
overview,mzone,"Management zone"
overview,prescriptionMap,"Management zone"
overview,AB,"A to B"
overview,layer_speed,"Speed"
overview,layer_elevation,"Elevation"
overview,new_prescription,"New prescription"
overview,import_task,"Import task"
overview,no_guidance,"No guidance line created yet"
overview,no_guidance_desc,""
overview,no_zone,"No management zone created yet"
overview,no_zone_desc,""
overview,no_prescriptions,"No prescription created yet"
overview,no_prescriptions_desc,"You can create a new prescription from the button below"
overview,no_tasks,"No tasks imported yet"
overview,no_tasks_desc,"No tasks imported yet"
overview,spread_time,"Spread time"
overview,estimated_total,"Estimated total"
overview,product,"Product"
overview,product_area,"Product area"
overview,thematize_form_title,"Edit thematization"
forms,add_modal_save_button,"Create"
forms,edit_modal_save_button,"Save"
products,menu,"Products"
products,title,"Products"
products,product_name,"Product name"
products,product_name_placeholder,'"Insert product''s name"'
products,add_product_button,"New product"
products,add_product_modal_title,"New product"
products,edit_product_modal_title,"Edit product"
products,product_column_title,"Name"
products,type_column_title,"Product Type"
products,type_column_title_placeholder,"Select product type"
products,delete_product,"Delete product"
products,error_create,"Create error!"
products,error_delete,"Delete error!"
products,error_update,"Update error!"
products,error_load_list,"Error loading products!"
products,empty_title,"No products added"
products,empty_description,"You can create products from the button above"
manage,menu,"Manage"
tasks,menu,"Tasks"
tasks,delete_task,"Delete task"
tasks,error_delete,"Unable to delete task"
tasks,edit_task_modal_title,"Edit task"
tasks,task_name_input_title,"Task name"
tasks,task_name_input_title_placeholder,'"Insert task''s name"'
tasks,task_date_input_title,"Task date"
tasks,task_type_input_title,"Task type"
tasks,field_input_title,"Field"
tasks,grower_input_title,"Grower"
tasks,crop_input_title,"Crop"
tasks,farm_input_title,"Farm"
tasks,product_input_title,"Product"
tasks,collapse,"Hide available layers ({{size}})"
tasks,expand,"Show available layers ({{size}})"
tasks,no_tasks_found,"No tasks imported yet"
tasks,no_tasks_found_desc,"You can import a new task from the button on the top right"
tasks,no_field_selected,"No field selected yet"
tasks,no_field_selected_desc,"You can select a field from the sidebar in the left to see all the associated tasks"
tasks,product,"Product"
tasks,crop,"Crop"
tasks,created_at,"Created At"
tasks,spread_time,"Spread Time"
tasks,estimated_total,"Estimated Total"
tasks,product_area,"Product Area"
tasks,product_total,"Estimated total"
tasks,product_spread_time,"Prod. Spread Time"
tasks,sensor_type,"Sensor Type"
tasks,total_area,"Total Area"
tasks,total_mass,"Total Mass"
tasks,un_adj_ttl_m,"Unadjusted TTL"
tasks,sensor_width,"Sensor Width"
tasks,import_tasks,"Import tasks"
tasks,change_task_type,"Change task type"
tasks,unknown_title,"Task type unknown"
tasks,unknown_description,"This task type wasn’t recognized by the system."
tasks,unknown_description_subtext,'"Please, change this task type to a known one in TAP."'
tasks,edit_sensor_modal_title,"Edit layer"
tasks,sensor_name,"Layer Type"
tasks,sensor_uom_input_title,"Unit Of Measurement"
tasks,error_download,"Download error"
tasks,task_layer_issue,"Task layer issue"
tasks,task_layer_issue_description,'"This task layer has missing information. It''s either not related to a known variable and/or the unit of measure is missing"'
tasks,edit_task_layer,"Edit task layer"
tasks,edit_task_layer_warning,"You can’t operate with the layers until you relate the task type to a known one in TAP"
tasks,task_type_unknown_title,"Task type unknown"
tasks,task_type_unknown_text,'"This task type wasn''t recognized by system. Please change this task type to a known one in TAP"'
tasks,error_set_thematization,'"Can''t create the Thematization"'
tasks,operation,"Operation"
tasks,error_load_list,"Error loading tasks!"
map,search_location,"Search Location"
map,legenda,"Legenda"
map,change_style,"Change Style"
map,opacity,"Opacity"
map,color_ramp,"Color Ramp"
map,inverted,"Inverted"
map,method,"Method"
map,threshold,"Threshold"
map,classes,"Classes"
map,satellite,"Satellite"
map,street,"Street"
map,map,"Map"
map,legend_error_message,"No data to show"
map,error_fetch_weather,'"Coundn''t find weather data for field"'
map,shape_file_uploader_text,"import shape file"
map,shape_file_uploader_draggable_area_text,"Drop a shape file ..."
map,total_field_area,"Total field area"
map,crops,"Crops"
map,tillable_area,"Tillable area"
map,field_information,'"Field''s information"'
map,edit_field,"Edit field"
map,field_thumbnail,"Field thumbnail"
map,farm,"Farm"
map,grower,"Grower"
map,weather,"Weather"
map,weather_icon,"Weather icon"
map,temperature,"Temperature"
map,wind_speed,"Wind speed"
map,total_area,"Total area"
map,total_mass,"Total mass"
map,unadjusted_ttl,"Unadjusted TTL"
map,empty,"Empty"
map,import_tasks,"Import tasks"
map,recent_tasks,"Last 3 tasks"
map,tasks_summary,'"Tasks'' summary"'
map,tasks,"Tasks"
map,vehicle_brand,"Brand"
map,vehicle_type,"Type"
map,vehicle_model,"Model"
map,machine_information,"Machine information"
map,vehicle_thumbnail,"Vehicle thumbnail"
map,vehicle_status,"Status"
map,vehicle_sn,"S/N"
map,speed,"Speed"
map,distance,"Distance"
map,engine_hours,"Engine hours"
map,engine_speed,"Engine speed"
map,fuel,"Fuel"
map,fuel_rate,"Fuel rate"
map,alarms,"Alarms"
legend,error_load,"Load error!"
legend,min_label,"Min: {{value}}"
legend,max_label,"Max: {{value}}"
